Transaction_ID,Account_Number,Date,Transaction_Type,Amount_INR,Balance_After,Bank,Branch,Channel,Fraud_Flag,Is_International
BNK_00000001,ACCT_584936,2024-10-09,Interest,7118.36,101040.52,Kotak,Branch_9,Mobile,0,1
BNK_00000002,ACCT_893016,2023-01-06,Payment,3592.58,94346.14,Yes_Bank,Branch_98,RTGS,0,0
BNK_00000003,ACCT_818091,2023-05-23,Interest,17714.31,347828.45,HDFC,Branch_100,RTGS,0,0
BNK_00000004,ACCT_114738,2024-02-02,Withdrawal,7564.96,152225.14,ICICI,Branch_20,RTGS,0,0
BNK_00000005,ACCT_591396,2022-11-24,Transfer,5801.96,21422.28,Kotak,Branch_74,Mobile,0,0
BNK_00000006,ACCT_569297,2023-02-14,Refund,1922.17,13030.38,PNB,Branch_62,Mobile,0,1
BNK_00000007,ACCT_801830,2023-07-05,Withdrawal,2183.81,194064.23,Yes_Bank,Branch_74,NEFT,1,0
BNK_00000008,ACCT_179478,2023-06-12,Transfer,14074.42,19237.88,HDFC,Branch_33,Branch,0,0
BNK_00000009,ACCT_945964,2024-02-13,Transfer,5882.48,417629.85,Yes_Bank,Branch_59,Branch,0,0
BNK_00000010,ACCT_412782,2023-11-11,Interest,19564.58,288684.07,Yes_Bank,Branch_41,Branch,0,1
BNK_00000011,ACCT_140413,2023-01-24,Deposit,4938.72,44994.76,PNB,Branch_52,ATM,0,0
BNK_00000012,ACCT_704200,2024-11-03,Deposit,851.47,421454.43,Kotak,Branch_14,Branch,0,0
BNK_00000013,ACCT_314447,2023-07-08,Payment,2573.73,133027.12,Yes_Bank,Branch_13,UPI,0,0
BNK_00000014,ACCT_529565,2022-01-16,Withdrawal,19583.14,239564.3,Yes_Bank,Branch_19,UPI,0,0
BNK_00000015,ACCT_977543,2023-11-23,Interest,4730.85,125896.32,SBI,Branch_13,ATM,0,0
BNK_00000016,ACCT_971979,2024-03-30,Payment,2001.08,15045.92,Yes_Bank,Branch_45,Online,0,0
BNK_00000017,ACCT_880052,2022-07-03,Transfer,3324.27,3994.48,Axis,Branch_91,UPI,0,0
BNK_00000018,ACCT_494338,2024-12-18,Interest,2358.82,342337.52,BOB,Branch_11,RTGS,0,0
BNK_00000019,ACCT_530031,2022-02-06,Payment,1810.12,188430.59,Yes_Bank,Branch_54,Online,1,0
BNK_00000020,ACCT_377632,2023-01-04,Withdrawal,3041.44,327017.11,PNB,Branch_20,UPI,0,0
BNK_00000021,ACCT_632494,2023-05-09,Deposit,736.13,405939.18,Yes_Bank,Branch_98,RTGS,0,1
BNK_00000022,ACCT_946031,2024-01-03,Deposit,4639.47,279235.95,HDFC,Branch_62,Mobile,0,0
BNK_00000023,ACCT_404511,2022-09-19,Interest,10317.34,227140.07,BOB,Branch_8,UPI,0,1
BNK_00000024,ACCT_415312,2024-11-17,Payment,1638.02,259206.24,HDFC,Branch_41,ATM,0,0
BNK_00000025,ACCT_243615,2024-12-17,Interest,997.09,308193.72,Axis,Branch_82,ATM,0,0
BNK_00000026,ACCT_821779,2022-05-24,Withdrawal,267.15,13987.74,HDFC,Branch_83,UPI,0,0
BNK_00000027,ACCT_282102,2022-12-31,Interest,4132.39,322883.05,Yes_Bank,Branch_98,RTGS,0,0
BNK_00000028,ACCT_579866,2023-10-28,Refund,9821.92,188715.6,SBI,Branch_59,ATM,1,0
BNK_00000029,ACCT_528208,2022-02-03,Refund,200.42,21614.22,Yes_Bank,Branch_44,ATM,0,1
BNK_00000030,ACCT_572854,2023-10-24,Transfer,4649.63,121475.41,Yes_Bank,Branch_22,Branch,0,0
BNK_00000031,ACCT_144236,2022-11-30,Refund,6881.86,364641.92,Kotak,Branch_48,NEFT,0,0
BNK_00000032,ACCT_240588,2023-05-23,Payment,16451.39,403160.57,HDFC,Branch_68,NEFT,0,0
BNK_00000033,ACCT_265967,2024-08-20,Transfer,1838.17,111314.9,BOB,Branch_23,NEFT,0,0
BNK_00000034,ACCT_816987,2022-03-29,Payment,7084.57,188347.88,PNB,Branch_45,RTGS,0,0
BNK_00000035,ACCT_508627,2023-11-06,Interest,9563.65,390962.53,Kotak,Branch_54,ATM,0,0
BNK_00000036,ACCT_683738,2022-05-08,Payment,3902.12,364670.74,ICICI,Branch_29,ATM,0,0
BNK_00000037,ACCT_860887,2022-07-02,Payment,1935.6,46521.32,Kotak,Branch_44,ATM,0,0
