Employee_ID,Name,Age,Department,Designation,Salary,Experience_Years,City,Rating,Joining_Date
EMP_0001,Employee_1,50.0,Finance,Junior,566725.0,19.0,Bangalore,4.38,2012-07-01
EMP_0002,Employee_2,36.0,HR,Senior,701160.0,5.0,Kolkata,,2010-07-24
EMP_0003,Employee_3,29.0,Sales,Lead,680458.0,28.0,Bangalore,3.87,2016-03-03
EMP_0004,Employee_4,42.0,Sales,Mid,646040.0,14.0,Bangalore,2.13,2015-06-30
EMP_0005,Employee_5,40.0,Engineering,Mid,270058.0,25.0,Kolkata,2.31,2015-01-03
EMP_0006,Employee_6,44.0,Finance,Director,343134.0,25.0,Chennai,1.08,2013-02-17
EMP_0007,Employee_7,32.0,Engineering,Lead,827628.0,13.0,Hyderabad,4.04,2012-04-19
EMP_0008,Employee_8,32.0,Marketing,Manager,854299.0,19.0,Mumbai,1.17,2022-03-26
EMP_0009,Employee_9,45.0,Engineering,Lead,584002.0,14.0,Kolkata,4.46,2011-12-14
EMP_0010,Employee_10,45.0,Design,Junior,808564.0,13.0,Ahmedabad,1.47,2023-03-31
EMP_0011,Employee_11,24.0,Engineering,Junior,446515.0,24.0,Pune,1.69,2019-06-19
EMP_0012,Employee_12,43.0,Design,Mid,480836.0,20.0,Delhi,2.91,2010-09-18
EMP_0013,Employee_13,23.0,HR,Junior,434657.0,23.0,,3.95,2010-09-02
EMP_0014,Employee_14,45.0,Operations,Mid,472512.0,24.0,Kolkata,1.56,2012-02-07
EMP_0015,Employee_15,51.0,Product,Mid,708404.0,25.0,Mumbai,2.76,2014-11-27
EMP_0016,Employee_16,23.0,Product,Mid,470647.0,4.0,,2.93,2015-03-21
EMP_0017,Employee_17,42.0,Sales,Senior,935961.0,,Pune,1.85,2021-05-02
EMP_0018,Employee_18,,Product,Senior,669010.0,16.0,Pune,1.46,2023-07-03
EMP_0019,Employee_19,33.0,Design,Mid,762679.0,10.0,Pune,4.35,2010-08-06
EMP_0020,Employee_20,43.0,Finance,Lead,673491.0,15.0,Bangalore,3.01,2022-08-03
EMP_0021,Employee_21,46.0,Engineering,Mid,782140.0,11.0,,1.06,2014-06-17
EMP_0022,Employee_22,48.0,Design,Manager,469800.0,14.0,Chennai,4.21,2022-03-23
EMP_0023,Employee_23,49.0,Finance,Junior,817040.0,22.0,Chennai,4.92,2019-05-30
EMP_0024,Employee_24,37.0,Operations,Director,621140.0,3.0,Pune,3.42,2014-12-11
