Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Account.1
3/2/2022 10:11,CUB- online payment,Food,Brownie,,50.0,Expense,,50.0,INR,50.0
3/2/2022 10:11,CUB- online payment,Other,To lended people,,300.0,Expense,,300.0,INR,300.0
3/1/2022 19:50,CUB- online payment,Transportation,Dinner,,78.0,Expense,,78.0,INR,78.0
3/1/2022 18:56,CUB- online payment,Food,Metro,,30.0,Expense,,30.0,INR,30.0
3/1/2022 18:22,CUB- online payment,Food,Snacks,,67.0,Expense,,67.0,INR,67.0
3/1/2022 14:00,CUB- online payment,Food,Lunch,,120.0,Expense,,120.0,INR,120.0
3/1/2022 09:30,CUB- online payment,Food,Breakfast,,45.0,Expense,,45.0,INR,45.0
2/28/2022 20:00,CUB- online payment,Food,Dinner,,150.0,Expense,,150.0,INR,150.0
2/28/2022 12:30,CUB- online payment,Food,Lunch,,95.0,Expense,,95.0,INR,95.0
2/28/2022 08:45,CUB- online payment,Transportation,Bus,,25.0,Expense,,25.0,INR,25.0
2/27/2022 19:30,CUB- online payment,Food,Pizza,,250.0,Expense,,250.0,INR,250.0
2/27/2022 15:00,CUB- online payment,Apparel,T-shirt,,499.0,Expense,,499.0,INR,499.0
2/27/2022 11:00,CUB- online payment,Household,Soap,,75.0,Expense,,75.0,INR,75.0
2/26/2022 18:00,CUB- online payment,Social Life,Coffee,,80.0,Expense,,80.0,INR,80.0
2/26/2022 13:00,CUB- online payment,Food,Biryani,,180.0,Expense,,180.0,INR,180.0
2/25/2022 20:30,CUB- online payment,Self-development,Book,,350.0,Expense,,350.0,INR,350.0
2/25/2022 16:00,CUB- online payment,Beauty,Shampoo,,120.0,Expense,,120.0,INR,120.0
2/25/2022 10:00,CUB- online payment,Food,Tea,,20.0,Expense,,20.0,INR,20.0
2/24/2022 19:00,CUB- online payment,Food,Chinese,,160.0,Expense,,160.0,INR,160.0
2/24/2022 12:00,CUB- online payment,Transportation,Ola,,150.0,Expense,,150.0,INR,150.0
2/23/2022 21:00,CUB- online payment,Gift,Birthday Gift,,500.0,Expense,,500.0,INR,500.0
2/23/2022 14:30,CUB- online payment,Education,Notebook,,40.0,Expense,,40.0,INR,40.0
2/23/2022 09:00,CUB- online payment,Food,Samosa,,15.0,Expense,,15.0,INR,15.0
2/22/2022 18:30,CUB- online payment,Allowance,Monthly,,2000.0,Expense,,2000.0,INR,2000.0
2/22/2022 11:00,CUB- online payment,Petty cash,Wallet,,500.0,Expense,,500.0,INR,500.0
2/21/2022 20:00,CUB- online payment,Food,Chicken,,200.0,Expense,,200.0,INR,200.0
2/21/2022 15:30,CUB- online payment,Household,Detergent,,90.0,Expense,,90.0,INR,90.0
2/20/2022 17:00,CUB- online payment,Social Life,Movie,,200.0,Expense,,200.0,INR,200.0
2/20/2022 12:30,CUB- online payment,Food,Burger,,90.0,Expense,,90.0,INR,90.0
2/19/2022 19:30,CUB- online payment,Food,Pasta,,110.0,Expense,,110.0,INR,110.0
2/19/2022 10:00,CUB- online payment,Transportation,Metro,,30.0,Expense,,30.0,INR,30.0
2/18/2022 21:00,CUB- online payment,Food,Ice Cream,,75.0,Expense,,75.0,INR,75.0
2/18/2022 14:00,CUB- online payment,Food,Chole Bhature,,60.0,Expense,,60.0,INR,60.0
2/17/2022 18:00,CUB- online payment,Apparel,Shoes,,1200.0,Expense,,1200.0,INR,1200.0
2/17/2022 11:30,CUB- online payment,Food,Dosa,,70.0,Expense,,70.0,INR,70.0
2/16/2022 19:00,CUB- online payment,Food,Pani Puri,,30.0,Expense,,30.0,INR,30.0
2/16/2022 13:00,CUB- online payment,Transportation,Auto,,45.0,Expense,,45.0,INR,45.0
2/15/2022 20:30,CUB- online payment,Petty cash,Snacks,,50.0,Expense,,50.0,INR,50.0
2/15/2022 16:00,CUB- online payment,Food,Vada Pav,,20.0,Expense,,20.0,INR,20.0
2/14/2022 18:00,CUB- online payment,Food,Momos,,50.0,Expense,,50.0,INR,50.0
2/14/2022 12:00,CUB- online payment,Household,Brush,,45.0,Expense,,45.0,INR,45.0
2/13/2022 19:30,CUB- online payment,Food,Thali,,100.0,Expense,,100.0,INR,100.0
2/13/2022 14:30,CUB- online payment,Beauty,Face Wash,,180.0,Expense,,180.0,INR,180.0
2/12/2022 17:00,CUB- online payment,Social Life,Party,,800.0,Expense,,800.0,INR,800.0
2/12/2022 11:00,CUB- online payment,Food,Idli,,40.0,Expense,,40.0,INR,40.0
2/11/2022 20:00,CUB- online payment,Food,Fried Rice,,120.0,Expense,,120.0,INR,120.0
2/11/2022 15:00,CUB- online payment,Transportation,Uber,,180.0,Expense,,180.0,INR,180.0
2/10/2022 19:00,CUB- online payment,Food,Wrap,,85.0,Expense,,85.0,INR,85.0
2/10/2022 12:30,CUB- online payment,Food,Sandwich,,65.0,Expense,,65.0,INR,65.0
2/9/2022 18:00,CUB- online payment,Allowance,Weekly,,500.0,Expense,,500.0,INR,500.0
2/9/2022 10:00,CUB- online payment,Food,Omelette,,35.0,Expense,,35.0,INR,35.0
2/8/2022 21:00,CUB- online payment,Petty cash,Transport,,100.0,Expense,,100.0,INR,100.0
2/8/2022 14:00,CUB- online payment,Food,Biryani,,180.0,Expense,,180.0,INR,180.0
2/7/2022 19:30,CUB- online payment,Household,Paper,,35.0,Expense,,35.0,INR,35.0
2/7/2022 13:00,CUB- online payment,Food,Paneer,,150.0,Expense,,150.0,INR,150.0
2/6/2022 17:00,CUB- online payment,Social Life,Game,,200.0,Expense,,200.0,INR,200.0
2/6/2022 11:00,CUB- online payment,Food,Poha,,25.0,Expense,,25.0,INR,25.0
2/5/2022 20:00,CUB- online payment,Food,Biryani,,180.0,Expense,,180.0,INR,180.0
2/5/2022 15:30,CUB- online payment,Transportation,Rickshaw,,30.0,Expense,,30.0,INR,30.0
2/4/2022 18:00,CUB- online payment,Food,Chicken,,200.0,Expense,,200.0,INR,200.0
2/4/2022 12:00,CUB- online payment,Education,Book,,250.0,Expense,,250.0,INR,250.0
2/3/2022 19:30,CUB- online payment,Food,Dosa,,70.0,Expense,,70.0,INR,70.0
2/3/2022 14:00,CUB- online payment,Apparel,Jeans,,800.0,Expense,,800.0,INR,800.0
2/2/2022 17:00,CUB- online payment,Food,Tea,,20.0,Expense,,20.0,INR,20.0
2/2/2022 11:30,CUB- online payment,Transportation,Metro,,30.0,Expense,,30.0,INR,30.0
2/1/2022 20:00,CUB- online payment,Food,Chole Bhature,,60.0,Expense,,60.0,INR,60.0
2/1/2022 13:00,CUB- online payment,Household,Bucket,,120.0,Expense,,120.0,INR,120.0
1/31/2022 18:30,CUB- online payment,Food,Pani Puri,,30.0,Expense,,30.0,INR,30.0
1/31/2022 12:00,CUB- online payment,Food,Lunch,,120.0,Expense,,120.0,INR,120.0
1/30/2022 19:00,CUB- online payment,Social Life,Concert,,1500.0,Expense,,1500.0,INR,1500.0
1/30/2022 14:30,CUB- online payment,Food,Burger,,90.0,Expense,,90.0,INR,90.0
1/29/2022 17:00,CUB- online payment,Food,Pizza,,250.0,Expense,,250.0,INR,250.0
1/29/2022 10:00,CUB- online payment,Beauty,Cream,,250.0,Expense,,250.0,INR,250.0
1/28/2022 20:30,CUB- online payment,Food,Biryani,,180.0,Expense,,180.0,INR,180.0
1/28/2022 15:00,CUB- online payment,Transportation,Ola,,150.0,Expense,,150.0,INR,150.0
1/27/2022 18:00,CUB- online payment,Food,Dosa,,70.0,Expense,,70.0,INR,70.0
1/27/2022 11:00,CUB- online payment,Household,Shampoo,,120.0,Expense,,120.0,INR,120.0
1/26/2022 19:30,CUB- online payment,Food,Thali,,100.0,Expense,,100.0,INR,100.0
1/26/2022 13:00,CUB- online payment,Transportation,Auto,,45.0,Expense,,45.0,INR,45.0
1/25/2022 17:00,CUB- online payment,Food,Vada Pav,,20.0,Expense,,20.0,INR,20.0
1/25/2022 10:30,CUB- online payment,Petty cash,Coffee,,40.0,Expense,,40.0,INR,40.0
1/24/2022 20:00,CUB- online payment,Food,Chinese,,160.0,Expense,,160.0,INR,160.0
1/24/2022 14:00,CUB- online payment,Apparel,Shirt,,600.0,Expense,,600.0,INR,600.0
1/23/2022 18:30,CUB- online payment,Food,Momos,,50.0,Expense,,50.0,INR,50.0
1/23/2022 12:00,CUB- online payment,Food,Breakfast,,45.0,Expense,,45.0,INR,45.0
1/22/2022 19:00,CUB- online payment,Allowance,Monthly,,2000.0,Expense,,2000.0,INR,2000.0
1/22/2022 15:30,CUB- online payment,Food,Pasta,,110.0,Expense,,110.0,INR,110.0
1/21/2022 17:00,CUB- online payment,Household,Towel,,80.0,Expense,,80.0,INR,80.0
1/21/2022 11:00,CUB- online payment,Food,Sandwich,,65.0,Expense,,65.0,INR,65.0
1/20/2022 20:00,CUB- online payment,Social Life,Dinner,,300.0,Expense,,300.0,INR,300.0
1/20/2022 14:30,CUB- online payment,Food,Fried Rice,,120.0,Expense,,120.0,INR,120.0
1/19/2022 18:00,CUB- online payment,Food,Wrap,,85.0,Expense,,85.0,INR,85.0
1/19/2022 12:00,CUB- online payment,Transportation,Uber,,180.0,Expense,,180.0,INR,180.0
1/18/2022 19:30,CUB- online payment,Food,Chicken,,200.0,Expense,,200.0,INR,200.0
1/18/2022 13:00,CUB- online payment,Food,Paneer,,150.0,Expense,,150.0,INR,150.0
