Transaction_ID,Date,Store,Product,Quantity,Unit_Price,Discount_Percent,Total_Amount,Payment_Method,Customer_Age,Customer_Gender
TXN_000001,2024-07-04,Store_D,Keyboard,7,1274.55,0,8921.83,Credit Card,42,Female
TXN_000002,2024-10-10,Store_C,Mouse,9,983.29,0,8849.61,Debit Card,40,Female
TXN_000003,2023-08-15,Store_C,Charger,9,462.54,0,4162.88,Cash,30,Female
TXN_000004,2024-01-10,Store_D,Phone,1,26466.24,15,22496.3,Net Banking,29,Female
TXN_000005,2024-05-31,Store_E,Headphones,8,1850.54,5,14064.08,Credit Card,41,Other
TXN_000006,2024-02-28,Store_C,Printer,4,14352.23,0,57408.94,UPI,50,Female
TXN_000007,2023-05-11,Store_C,Printer,3,15795.29,10,42647.29,Net Banking,33,Female
TXN_000008,2023-07-15,Store_E,Laptop,3,54664.2,20,131194.08,Debit Card,23,Female
TXN_000009,2024-11-04,Store_B,Router,8,2131.45,15,14493.85,Credit Card,44,Other
TXN_000010,2023-06-04,Store_B,SSD,2,4797.18,20,7675.49,Cash,30,Female
TXN_000011,2023-03-13,Store_E,Tablet,9,25988.29,5,222199.86,Credit Card,39,Other
TXN_000012,2023-01-11,Store_E,Mouse,1,780.22,0,780.22,Net Banking,40,Female
TXN_000013,2024-06-04,Store_B,Printer,4,14779.3,0,59117.21,UPI,36,Other
TXN_000014,2023-08-09,Store_C,Headphones,5,2082.14,15,8849.08,Net Banking,38,Other
TXN_000015,2023-02-11,Store_A,Cable,3,210.28,0,630.84,Cash,39,Female
TXN_000016,2023-08-06,Store_C,Monitor,7,19142.98,10,120600.74,Cash,49,Female
TXN_000017,2024-07-31,Store_B,Cable,4,198.03,0,792.11,UPI,26,Female
TXN_000018,2023-11-29,Store_D,Printer,9,13070.41,5,111752.05,Cash,27,Male
TXN_000019,2023-05-07,Store_A,Speaker,4,2822.32,15,9595.87,Net Banking,34,Female
TXN_000020,2023-06-14,Store_A,Monitor,7,19598.12,0,137186.81,Credit Card,31,Male
TXN_000021,2024-10-07,Store_B,Mouse,3,952.83,5,2715.56,Wallet,36,Male
TXN_000022,2024-10-19,Store_B,Laptop,8,61449.33,15,417855.46,Debit Card,25,Female
TXN_000023,2023-06-13,Store_E,Headphones,1,1957.46,20,1565.96,Cash,27,Male
TXN_000024,2024-03-14,Store_B,Cable,7,225.57,5,1500.05,Net Banking,31,Other
TXN_000025,2024-02-11,Store_A,Camera,8,38475.74,15,261635.03,Debit Card,25,Other
TXN_000026,2023-03-01,Store_B,Mouse,9,721.83,0,6496.47,Credit Card,42,Other
TXN_000027,2023-03-13,Store_D,Router,9,2563.34,0,23070.1,Cash,27,Other
TXN_000028,2023-10-02,Store_B,Router,5,2520.34,10,11341.55,Wallet,31,Other
TXN_000029,2023-04-17,Store_D,Speaker,5,3254.51,5,15458.93,Wallet,35,Other
TXN_000030,2023-10-06,Store_E,Charger,1,503.52,5,478.35,Net Banking,28,Other
TXN_000031,2023-04-02,Store_D,Cable,7,184.41,10,1161.77,Debit Card,41,Other
TXN_000032,2023-02-03,Store_B,Speaker,5,2987.01,5,14188.31,Debit Card,39,Female
TXN_000033,2023-07-06,Store_E,Camera,9,43516.86,0,391651.71,Net Banking,17,Female
TXN_000034,2023-01-19,Store_D,Charger,7,525.78,15,3128.39,Cash,41,Other
TXN_000035,2024-04-06,Store_E,Phone,1,31598.3,5,30018.39,Net Banking,34,Male
TXN_000036,2024-05-23,Store_C,RAM,6,2764.0,0,16584.0,Net Banking,32,Other
TXN_000037,2024-11-13,Store_C,Keyboard,2,1004.38,5,1908.33,Debit Card,33,Male
TXN_000038,2023-10-01,Store_D,Mouse,1,848.08,10,763.27,Debit Card,28,Other
TXN_000039,2024-06-28,Store_D,RAM,3,2742.62,10,7405.07,Debit Card,27,Female
TXN_000040,2023-09-03,Store_C,Monitor,2,24001.87,0,48003.74,UPI,34,Female
TXN_000041,2023-11-19,Store_B,Printer,7,14104.25,0,98729.74,Net Banking,32,Female
TXN_000042,2023-03-05,Store_C,Phone,8,24323.38,0,194587.07,Credit Card,45,Female
TXN_000043,2024-12-10,Store_C,RAM,8,2804.07,0,22432.54,Wallet,31,Other
TXN_000044,2024-10-22,Store_A,Laptop,7,57572.96,20,322408.57,Credit Card,24,Male
TXN_000045,2023-12-02,Store_E,Charger,8,477.68,10,3439.29,UPI,50,Male
TXN_000046,2023-03-11,Store_D,Cable,9,191.56,5,1637.83,Wallet,14,Female
TXN_000047,2023-06-15,Store_E,Laptop,9,58662.15,5,501561.41,Net Banking,29,Female
TXN_000048,2023-10-11,Store_B,Tablet,2,21259.37,10,38266.87,Debit Card,49,Male
TXN_000049,2023-05-28,Store_E,Keyboard,8,1047.18,0,8377.48,Debit Card,24,Female
TXN_000050,2023-06-26,Store_B,Keyboard,1,996.57,5,946.74,Cash,31,Female
TXN_000051,2024-10-31,Store_D,RAM,1,2845.67,0,2845.67,Cash,29,Female
TXN_000052,2024-01-04,Store_C,RAM,3,2524.5,10,6816.14,Debit Card,49,Other
TXN_000053,2023-07-18,Store_E,Cable,3,192.86,0,578.58,Cash,54,Female
TXN_000054,2023-10-04,Store_E,Printer,7,14861.02,10,93624.43,Cash,39,Female
TXN_000055,2024-10-12,Store_D,Speaker,1,2589.03,5,2459.58,UPI,34,Female
TXN_000056,2024-03-01,Store_B,Charger,2,480.72,0,961.43,Net Banking,19,Other
TXN_000057,2024-03-11,Store_D,Speaker,3,2800.22,10,7560.6,Net Banking,31,Other
TXN_000058,2023-08-27,Store_B,Router,3,2283.41,0,6850.22,Credit Card,33,Other
TXN_000059,2023-02-03,Store_E,Charger,8,483.78,5,3676.76,Credit Card,28,Female
TXN_000060,2024-03-17,Store_B,Headphones,1,1849.65,0,1849.65,Debit Card,20,Male
TXN_000061,2024-04-05,Store_B,Mouse,2,923.97,5,1755.54,UPI,41,Other
TXN_000062,2023-12-01,Store_E,Mouse,8,759.35,20,4859.83,Net Banking,45,Female
TXN_000063,2024-03-14,Store_C,Charger,1,374.39,20,299.51,Net Banking,32,Female
TXN_000064,2023-08-05,Store_A,SSD,5,3753.28,10,16889.78,Net Banking,39,Other
TXN_000065,2024-12-21,Store_E,Monitor,4,21647.48,15,73601.44,Debit Card,45,Male
TXN_000066,2024-05-11,Store_B,Headphones,1,1814.71,25,1361.03,UPI,27,Female
TXN_000067,2024-06-06,Store_D,Camera,4,35779.49,0,143117.97,UPI,27,Other
TXN_000068,2023-12-15,Store_D,Phone,6,28329.74,5,161479.51,Credit Card,30,Other
TXN_000069,2024-11-24,Store_B,SSD,2,4119.04,0,8238.08,Wallet,38,Male
TXN_000070,2024-10-14,Store_C,Printer,2,16963.2,20,27141.11,UPI,36,Female
TXN_000071,2024-09-15,Store_D,Laptop,9,57661.47,20,415162.56,Cash,29,Male
TXN_000072,2023-07-04,Store_C,Laptop,4,60439.92,10,217583.72,UPI,23,Female
TXN_000073,2023-07-10,Store_D,Keyboard,3,1234.84,5,3519.3,UPI,36,Male
TXN_000074,2023-01-16,Store_D,Tablet,5,22027.39,0,110136.96,Cash,47,Female
TXN_000075,2023-01-14,Store_A,Charger,9,526.72,0,4740.45,Wallet,34,Female
TXN_000076,2023-11-28,Store_B,Keyboard,7,1241.27,5,8254.46,Net Banking,41,Male
TXN_000077,2024-08-29,Store_E,Phone,7,29636.98,5,197085.93,UPI,16,Other
TXN_000078,2023-08-27,Store_E,Charger,7,496.12,5,3299.18,Credit Card,34,Male
TXN_000079,2023-08-01,Store_A,Router,6,2298.26,5,13100.07,Cash,39,Male
TXN_000080,2024-10-22,Store_C,Router,4,2422.6,0,9690.41,Net Banking,33,Other
TXN_000081,2023-11-07,Store_C,Keyboard,3,1079.95,5,3077.86,Net Banking,19,Male
TXN_000082,2023-05-06,Store_B,Keyboard,2,1170.65,15,1990.1,Wallet,14,Male
TXN_000083,2024-04-07,Store_D,Router,5,3145.65,5,14941.85,Wallet,16,Male
TXN_000084,2023-03-17,Store_E,Keyboard,2,1284.75,0,2569.51,Wallet,50,Female
TXN_000085,2023-06-09,Store_B,Cable,7,206.45,0,1445.12,Cash,47,Male
TXN_000086,2023-05-09,Store_B,Router,5,2468.2,20,9872.79,Wallet,25,Female
TXN_000087,2024-06-30,Store_A,Keyboard,2,1296.79,5,2463.9,Net Banking,42,Male
TXN_000088,2023-04-19,Store_C,Keyboard,8,1243.95,5,9454.03,Net Banking,44,Male
TXN_000089,2023-11-05,Store_A,Speaker,9,3264.71,5,27913.31,Debit Card,33,Other
TXN_000090,2024-05-06,Store_B,SSD,8,3734.35,10,26887.32,Wallet,29,Male
TXN_000091,2024-06-28,Store_B,Monitor,5,21202.56,10,95411.52,UPI,44,Male
TXN_000092,2023-05-27,Store_D,Headphones,8,1746.75,25,10480.51,Credit Card,27,Female
TXN_000093,2024-03-27,Store_C,Monitor,6,21195.71,0,127174.24,Debit Card,25,Male
TXN_000094,2023-10-05,Store_E,Router,8,2852.81,5,21681.36,Debit Card,47,Other
TXN_000095,2023-08-31,Store_D,Phone,9,30195.68,0,271761.13,UPI,40,Other
TXN_000096,2023-08-15,Store_A,Cable,9,177.17,20,1275.64,Wallet,40,Other
TXN_000097,2023-01-20,Store_A,SSD,4,3941.11,0,15764.46,Debit Card,35,Female
TXN_000098,2024-05-06,Store_E,Printer,7,18296.45,0,128075.15,Credit Card,32,Female
TXN_000099,2023-03-22,Store_A,Headphones,8,1877.51,15,12767.08,Credit Card,50,Male
TXN_000100,2024-01-13,Store_A,Phone,3,26816.17,15,68381.23,Debit Card,45,Male
TXN_000101,2024-03-05,Store_D,Monitor,6,17809.04,0,106854.23,Debit Card,33,Other
TXN_000102,2023-02-01,Store_A,Mouse,9,621.67,5,5315.25,Cash,34,Other
TXN_000103,2023-02-14,Store_A,Monitor,3,22108.75,0,66326.26,UPI,25,Female
TXN_000104,2024-04-14,Store_C,Laptop,9,44761.71,10,362569.85,UPI,37,Other
TXN_000105,2023-01-20,Store_D,Monitor,4,22025.6,25,66076.8,Wallet,40,Female
TXN_000106,2024-12-03,Store_E,Printer,1,14930.73,15,12691.12,Net Banking,46,Male
TXN_000107,2024-02-24,Store_D,Speaker,1,2754.26,10,2478.83,Wallet,39,Other
TXN_000108,2023-06-23,Store_A,SSD,4,4196.74,0,16786.95,Cash,26,Other
TXN_000109,2023-08-08,Store_E,Speaker,2,2664.4,5,5062.36,Credit Card,37,Female
TXN_000110,2024-05-04,Store_D,Mouse,7,855.87,5,5691.54,Net Banking,45,Female
TXN_000111,2024-09-18,Store_E,Camera,3,44032.63,0,132097.9,Wallet,30,Male
TXN_000112,2024-01-10,Store_E,Printer,6,16018.03,15,81691.95,Wallet,40,Female
TXN_000113,2024-10-30,Store_D,Charger,1,586.79,0,586.79,Debit Card,38,Female
TXN_000114,2024-08-04,Store_B,Charger,7,568.36,15,3381.74,Net Banking,31,Male
TXN_000115,2024-10-01,Store_C,Camera,5,40723.6,10,183256.2,Wallet,28,Female
TXN_000116,2023-08-29,Store_E,Cable,1,200.58,0,200.58,Credit Card,36,Female
TXN_000117,2023-08-28,Store_D,Tablet,1,28545.92,0,28545.92,Wallet,29,Other
TXN_000118,2024-05-17,Store_E,Keyboard,4,1325.72,0,5302.9,Debit Card,16,Other
TXN_000119,2023-12-17,Store_C,SSD,2,4256.75,5,8087.82,Wallet,32,Female
TXN_000120,2024-09-16,Store_D,Camera,3,40413.75,20,96992.99,UPI,27,Other
TXN_000121,2024-08-17,Store_E,Headphones,7,2198.31,15,13079.91,UPI,30,Female
TXN_000122,2023-12-13,Store_B,Tablet,7,28652.83,15,170484.34,Cash,45,Other
TXN_000123,2023-04-14,Store_A,Monitor,5,20532.21,0,102661.05,Credit Card,41,Female
TXN_000124,2024-11-15,Store_E,Tablet,4,25945.53,0,103782.12,Credit Card,42,Female
TXN_000125,2023-04-08,Store_B,RAM,6,2261.55,0,13569.29,Cash,33,Other
TXN_000126,2023-09-14,Store_A,Charger,7,490.59,5,3262.43,Debit Card,41,Female
TXN_000127,2024-04-24,Store_B,Phone,1,25133.46,5,23876.79,UPI,36,Male
TXN_000128,2024-04-19,Store_B,Keyboard,1,1345.38,0,1345.38,Wallet,28,Other
TXN_000129,2023-12-04,Store_D,Keyboard,6,1273.33,15,6493.99,Cash,32,Female
TXN_000130,2023-07-29,Store_A,Laptop,6,62572.17,0,375433.05,Debit Card,51,Male
TXN_000131,2024-03-19,Store_B,Router,4,2588.6,10,9318.94,UPI,47,Other
TXN_000132,2024-01-24,Store_A,Mouse,9,813.19,20,5854.99,Cash,47,Male
TXN_000133,2024-07-23,Store_E,Keyboard,7,1194.03,15,7104.45,Net Banking,39,Female
TXN_000134,2024-01-26,Store_D,SSD,2,3873.01,5,7358.72,Debit Card,19,Male
TXN_000135,2023-10-01,Store_A,Tablet,2,26214.87,20,41943.79,Net Banking,41,Other
TXN_000136,2023-11-15,Store_B,Headphones,4,1966.73,0,7866.94,Credit Card,38,Male
TXN_000137,2023-09-10,Store_D,Router,9,2481.45,0,22333.06,Cash,35,Female
TXN_000138,2023-11-19,Store_B,Monitor,6,20876.62,0,125259.71,Net Banking,22,Male
TXN_000139,2023-05-20,Store_A,Keyboard,6,1434.12,10,7744.25,Credit Card,46,Male
TXN_000140,2024-12-21,Store_A,Cable,4,171.59,20,549.08,Net Banking,31,Male
TXN_000141,2023-01-17,Store_B,Headphones,5,1754.83,15,7458.05,Debit Card,34,Other
TXN_000142,2024-07-10,Store_D,Charger,5,423.42,5,2011.25,Credit Card,37,Female
TXN_000143,2024-04-19,Store_B,Cable,2,197.29,20,315.67,Wallet,15,Other
TXN_000144,2024-03-24,Store_C,Laptop,4,54177.51,10,195039.05,Wallet,26,Female
TXN_000145,2023-04-26,Store_A,RAM,3,3194.65,20,7667.16,UPI,18,Female
TXN_000146,2024-11-02,Store_E,Charger,2,531.8,10,957.23,Cash,34,Female
TXN_000147,2024-06-19,Store_E,Camera,2,38112.29,0,76224.58,UPI,24,Female
TXN_000148,2024-07-16,Store_E,Mouse,5,814.53,10,3665.39,Cash,44,Male
TXN_000149,2024-09-02,Store_D,Laptop,5,60784.57,10,273530.58,Wallet,40,Male
TXN_000150,2024-05-22,Store_B,Tablet,2,23172.15,5,44027.09,Credit Card,27,Female
TXN_000151,2023-08-19,Store_C,RAM,5,2670.73,0,13353.63,UPI,38,Male
TXN_000152,2023-04-05,Store_A,Keyboard,5,1210.6,0,6053.02,Debit Card,32,Female
TXN_000153,2024-11-05,Store_E,Phone,1,33508.23,25,25131.17,Credit Card,23,Other
TXN_000154,2024-11-09,Store_E,Charger,4,498.92,5,1895.89,UPI,47,Male
TXN_000155,2023-08-29,Store_D,Phone,4,24432.17,0,97728.68,Net Banking,25,Male
TXN_000156,2024-08-12,Store_A,Mouse,4,693.92,15,2359.33,UPI,36,Female
TXN_000157,2024-04-05,Store_A,Cable,4,204.75,0,819.0,Net Banking,38,Male
TXN_000158,2024-01-26,Store_D,Router,8,2189.18,0,17513.46,Credit Card,50,Male
TXN_000159,2023-07-13,Store_B,Mouse,4,723.81,0,2895.26,Wallet,40,Female
TXN_000160,2024-02-20,Store_B,SSD,2,3374.62,0,6749.23,Debit Card,29,Male
TXN_000161,2023-12-09,Store_D,Camera,8,38806.52,0,310452.19,Wallet,28,Female
TXN_000162,2024-05-06,Store_D,Phone,8,27758.06,5,210961.26,UPI,46,Other
TXN_000163,2024-10-29,Store_B,Tablet,8,28629.22,15,194678.72,Credit Card,26,Male
TXN_000164,2024-05-15,Store_B,Mouse,4,789.16,0,3156.64,UPI,14,Male
TXN_000165,2023-09-29,Store_A,RAM,5,3122.52,5,14831.95,UPI,39,Female
TXN_000166,2023-11-10,Store_D,Tablet,5,22229.49,15,94475.33,Net Banking,44,Female
TXN_000167,2024-07-29,Store_C,Laptop,2,64664.48,15,109929.61,Net Banking,7,Female
TXN_000168,2023-12-16,Store_C,RAM,8,3374.49,15,22946.55,Cash,52,Female
TXN_000169,2024-04-16,Store_C,Camera,5,37046.39,10,166708.75,Credit Card,25,Other
TXN_000170,2024-11-26,Store_C,Laptop,8,58056.22,0,464449.74,Debit Card,23,Male
TXN_000171,2024-09-20,Store_B,SSD,2,3779.6,0,7559.2,Net Banking,28,Other
TXN_000172,2023-10-30,Store_B,Cable,7,208.64,20,1168.39,Wallet,31,Other
TXN_000173,2024-02-28,Store_C,SSD,4,4003.96,5,15215.05,Credit Card,26,Other
TXN_000174,2024-07-26,Store_A,Headphones,3,2064.57,5,5884.03,Wallet,19,Other
TXN_000175,2024-04-22,Store_E,Tablet,4,25706.45,0,102825.82,Debit Card,32,Female
TXN_000176,2024-04-17,Store_C,Camera,8,43805.2,5,332919.48,UPI,27,Male
TXN_000177,2024-01-25,Store_E,Keyboard,8,1242.92,10,8949.05,Credit Card,42,Other
TXN_000178,2024-07-07,Store_A,Monitor,1,20806.3,0,20806.3,Wallet,37,Female
TXN_000179,2024-05-07,Store_E,Monitor,2,19601.86,20,31362.97,Cash,53,Male
TXN_000180,2023-07-28,Store_A,Camera,9,46985.67,10,380583.95,Net Banking,47,Other
TXN_000181,2024-11-26,Store_B,Monitor,1,18611.43,0,18611.43,UPI,45,Male
TXN_000182,2024-09-11,Store_A,Mouse,8,871.16,5,6620.78,Wallet,14,Male
TXN_000183,2024-06-03,Store_A,Camera,6,39989.95,0,239939.67,Debit Card,38,Other
TXN_000184,2023-12-28,Store_E,Charger,5,379.03,10,1705.62,Credit Card,47,Male
TXN_000185,2024-08-23,Store_C,SSD,9,4268.49,0,38416.42,UPI,40,Female
TXN_000186,2023-08-05,Store_D,Speaker,9,3238.69,5,27690.79,Debit Card,37,Other
TXN_000187,2023-11-26,Store_E,Camera,4,37238.8,10,134059.67,UPI,28,Male
TXN_000188,2023-08-25,Store_E,Camera,1,39622.56,15,33679.18,Net Banking,40,Female
TXN_000189,2024-10-22,Store_D,Charger,8,529.41,0,4235.31,UPI,50,Other
TXN_000190,2023-07-08,Store_A,Printer,3,15614.37,10,42158.81,Net Banking,36,Female
TXN_000191,2023-09-16,Store_D,Headphones,5,2051.41,20,8205.62,Debit Card,37,Male
TXN_000192,2024-05-20,Store_B,Camera,3,38412.91,10,103714.85,Cash,44,Male
TXN_000193,2023-12-28,Store_B,Phone,3,34285.64,0,102856.92,UPI,12,Male
TXN_000194,2023-01-27,Store_A,RAM,8,3361.94,0,26895.52,Cash,48,Male
TXN_000195,2023-12-04,Store_D,Speaker,5,3065.54,0,15327.68,Credit Card,41,Other
TXN_000196,2024-10-30,Store_D,Mouse,9,758.21,0,6823.88,UPI,31,Male
TXN_000197,2023-11-05,Store_E,Cable,7,213.74,10,1346.56,Cash,15,Male
TXN_000198,2024-02-19,Store_C,Monitor,3,21491.56,20,51579.75,UPI,30,Other
TXN_000199,2024-04-26,Store_B,Camera,2,32605.38,0,65210.76,Net Banking,27,Female
TXN_000200,2023-07-29,Store_A,Headphones,1,1966.97,0,1966.97,Credit Card,23,Female
TXN_000201,2023-06-28,Store_B,Keyboard,3,1197.38,5,3412.54,UPI,45,Male
TXN_000202,2023-07-19,Store_E,Laptop,9,49712.43,20,357929.49,Credit Card,22,Female
TXN_000203,2023-01-11,Store_D,SSD,5,4391.75,20,17567.01,Credit Card,21,Female
TXN_000204,2024-11-20,Store_C,Headphones,5,2251.14,0,11255.68,Net Banking,49,Male
TXN_000205,2024-10-05,Store_C,Monitor,4,19205.4,5,72980.54,Credit Card,49,Other
TXN_000206,2023-10-03,Store_A,SSD,2,3436.97,0,6873.95,UPI,38,Male
TXN_000207,2023-11-23,Store_A,Charger,8,479.19,0,3833.54,Debit Card,39,Other
TXN_000208,2023-02-03,Store_D,SSD,9,3647.28,10,29542.99,Net Banking,40,Male
TXN_000209,2023-12-24,Store_C,Camera,1,48857.14,0,48857.14,Wallet,27,Male
TXN_000210,2024-05-31,Store_D,Charger,9,497.45,0,4477.03,Credit Card,31,Other
TXN_000211,2024-01-18,Store_E,Headphones,8,2270.54,0,18164.31,Credit Card,31,Other
TXN_000212,2024-06-16,Store_C,Laptop,3,51089.27,5,145604.42,Wallet,45,Male
TXN_000213,2024-05-18,Store_A,Cable,7,224.63,10,1415.2,Debit Card,42,Male
TXN_000214,2024-08-02,Store_D,Laptop,7,55512.82,0,388589.76,Debit Card,26,Female
TXN_000215,2023-08-25,Store_C,Charger,4,530.63,5,2016.39,Cash,36,Female
TXN_000216,2023-08-11,Store_D,Phone,4,28049.18,0,112196.73,UPI,39,Male
TXN_000217,2024-01-14,Store_A,Tablet,6,24293.39,0,145760.36,Credit Card,18,Female
TXN_000218,2024-07-13,Store_D,Cable,7,212.82,5,1415.27,Debit Card,31,Other
TXN_000219,2024-02-19,Store_C,SSD,6,3896.45,5,22209.75,UPI,31,Female
TXN_000220,2024-10-04,Store_D,RAM,5,2596.08,0,12980.42,Net Banking,53,Male
TXN_000221,2024-06-17,Store_D,Camera,3,40868.43,5,116475.03,UPI,36,Male
TXN_000222,2023-02-10,Store_D,Cable,3,197.5,0,592.51,Cash,40,Female
TXN_000223,2023-08-19,Store_D,Phone,8,25346.68,0,202773.46,Net Banking,20,Female
TXN_000224,2023-06-12,Store_D,SSD,8,5073.99,0,40591.88,UPI,29,Male
TXN_000225,2023-01-01,Store_E,Speaker,9,3050.31,0,27452.78,Credit Card,22,Male
TXN_000226,2023-06-07,Store_B,Keyboard,5,1124.53,0,5622.66,Debit Card,15,Other
TXN_000227,2024-03-18,Store_D,Speaker,8,2913.66,10,20978.35,Wallet,39,Female
TXN_000228,2023-08-06,Store_C,Cable,4,152.45,5,579.31,Credit Card,42,Female
TXN_000229,2024-08-04,Store_C,Headphones,5,1965.8,20,7863.2,Wallet,22,Male
TXN_000230,2023-04-27,Store_A,Speaker,1,3698.03,25,2773.52,UPI,41,Female
TXN_000231,2024-10-01,Store_E,RAM,5,3100.8,5,14728.79,Wallet,25,Other
TXN_000232,2024-11-09,Store_A,Laptop,4,45790.17,0,183160.67,Net Banking,44,Male
TXN_000233,2023-01-02,Store_A,Mouse,5,857.21,25,3214.54,Wallet,47,Female
TXN_000234,2023-08-28,Store_C,Router,5,3237.47,10,14568.6,Net Banking,43,Male
