Date,City,Temperature_C,Humidity_Percent,Wind_Speed_Kmh,Precipitation_mm,Weather_Condition,AQI
2021-01-21,Nagpur,19.2,44.4,8.8,0.0,Cloudy,125
2022-02-23,Ahmedabad,23.7,68.9,19.1,0.75,Stormy,104
2021-10-13,Mumbai,30.3,35.3,11.7,0.0,Hazy,107
2024-07-19,Surat,24.1,29.5,8.7,0.0,Hazy,92
2024-08-07,Indore,16.5,33.9,5.4,0.0,Cloudy,47
2020-03-16,Lucknow,26.6,78.2,8.4,1.25,Foggy,138
2024-11-16,Kolkata,23.5,70.4,6.3,6.19,Stormy,42
2022-12-13,Delhi,21.7,22.3,1.8,0.0,Sunny,23
2020-10-22,Patna,25.8,32.4,11.6,0.0,Hazy,137
2020-06-02,Bangalore,35.6,88.1,6.5,0.0,Rainy,16
2023-06-30,Kolkata,24.8,79.5,8.1,0.0,Hazy,98
2024-10-10,Delhi,22.2,91.6,4.9,0.0,Hazy,103
2022-12-28,Nagpur,23.5,96.8,6.5,0.0,Rainy,148
2024-01-11,Bhopal,14.8,87.5,18.6,0.0,Stormy,55
2023-01-13,Nagpur,21.3,82.3,8.5,4.62,Sunny,127
2023-07-16,Chennai,26.9,42.9,8.3,0.0,Rainy,252
2024-03-09,Chennai,25.2,20.6,8.0,0.21,Sunny,47
2023-07-21,Indore,20.6,63.1,15.4,0.0,Sunny,81
2020-12-06,Lucknow,25.2,80.9,20.2,0.0,Sunny,120
2021-10-26,Mumbai,24.7,28.3,6.1,0.0,Rainy,89
2022-02-06,Kolkata,17.6,100.0,9.0,0.0,Cloudy,11
2022-04-23,Pune,31.3,72.1,7.7,0.0,Cloudy,206
2020-12-24,Bangalore,8.5,85.0,8.5,1.51,Stormy,52
2023-10-31,Ahmedabad,28.3,63.0,7.3,0.38,Foggy,121
2021-04-20,Bangalore,29.4,50.8,16.5,0.0,Rainy,104
2021-06-06,Lucknow,33.1,64.2,14.3,0.0,Stormy,167
2021-08-12,Surat,33.4,69.8,5.7,0.0,Cloudy,91
2022-06-23,Delhi,27.9,48.5,6.3,0.0,Foggy,108
2023-08-01,Hyderabad,20.1,36.5,1.5,0.0,Hazy,124
2022-07-24,Hyderabad,26.7,53.5,15.0,0.0,Cloudy,50
2024-10-13,Jaipur,26.9,61.1,6.3,0.0,Cloudy,75
2023-03-17,Jaipur,22.2,65.1,13.0,0.0,Rainy,78
2021-08-27,Patna,21.4,62.7,1.7,1.03,Hazy,101
2021-07-16,Jaipur,28.2,67.5,16.6,5.37,Hazy,10
2024-03-05,Indore,24.7,35.3,12.5,0.0,Foggy,32
2022-10-14,Patna,14.7,80.2,11.9,0.0,Rainy,143
2024-06-24,Indore,24.3,69.3,7.8,1.16,Rainy,83
2023-07-27,Chennai,23.4,69.7,15.2,1.92,Rainy,81
2024-03-27,Bhopal,21.1,73.8,5.3,0.0,Hazy,137
2024-09-12,Bhopal,25.2,65.4,6.5,0.58,Sunny,117
2023-07-09,Surat,23.4,39.6,14.9,0.0,Rainy,54
2022-06-21,Indore,29.4,51.0,13.4,1.29,Rainy,140
2020-09-26,Patna,25.7,49.3,1.6,2.05,Rainy,57
2024-03-10,Kolkata,20.7,57.3,10.2,0.0,Cloudy,65
2024-05-29,Bangalore,22.3,67.9,18.7,0.0,Rainy,102
2022-10-24,Pune,23.5,52.1,4.5,0.0,Cloudy,66
2024-08-15,Hyderabad,30.7,20.0,10.4,0.0,Rainy,101
2024-11-17,Patna,25.6,74.5,10.3,0.0,Sunny,77
2020-06-03,Lucknow,24.7,86.0,15.2,0.2,Cloudy,243
2023-10-17,Nagpur,25.3,58.5,12.3,0.0,Stormy,124
2024-07-05,Nagpur,29.3,73.4,16.0,0.0,Sunny,160
2022-03-19,Indore,25.9,100.0,16.8,0.71,Foggy,59
2022-07-20,Delhi,13.6,89.4,5.7,0.0,Hazy,45
2021-06-20,Bhopal,29.8,52.5,18.9,0.0,Hazy,168
2020-08-09,Kolkata,22.4,80.8,7.3,0.0,Stormy,72
2023-06-22,Mumbai,31.6,89.1,7.8,0.0,Foggy,81
2023-06-03,Kolkata,29.5,42.1,17.8,2.38,Sunny,54
2024-08-14,Bhopal,33.9,47.0,12.1,0.0,Hazy,100
2023-08-22,Hyderabad,26.7,37.3,3.0,0.0,Cloudy,97
2020-03-17,Mumbai,20.8,78.8,2.5,0.0,Stormy,29
2020-07-18,Delhi,22.9,29.2,18.4,2.9,Foggy,90
2022-03-06,Bangalore,26.5,37.3,18.2,0.0,Hazy,91
2023-11-27,Patna,20.8,64.7,10.9,0.0,Stormy,10
2024-02-29,Ahmedabad,17.8,62.4,8.1,0.0,Stormy,33
2020-07-21,Bhopal,18.5,70.3,13.8,0.0,Foggy,77
2021-07-26,Jaipur,26.9,50.8,5.7,5.87,Rainy,110
2022-06-27,Chennai,29.0,46.3,17.7,0.0,Cloudy,10
2022-01-12,Nagpur,21.4,39.5,9.7,1.48,Hazy,128
2023-01-20,Kolkata,20.1,54.5,12.9,0.0,Hazy,102
2020-05-04,Kolkata,27.6,35.9,6.6,0.0,Cloudy,256
2024-10-02,Delhi,28.0,81.1,8.2,0.0,Sunny,57
2021-03-10,Bhopal,28.9,21.9,6.7,0.0,Foggy,82
2020-04-13,Mumbai,32.7,68.3,7.6,0.0,Cloudy,118
2024-05-30,Bangalore,26.5,81.4,11.2,0.0,Sunny,186
2024-04-16,Nagpur,26.6,84.5,10.5,0.0,Foggy,65
2024-07-23,Chennai,38.0,86.2,11.2,0.0,Rainy,138
2020-10-29,Indore,19.6,39.1,15.6,0.0,Foggy,100
2021-07-21,Mumbai,24.2,54.2,10.8,0.0,Cloudy,87
2023-01-11,Bangalore,7.8,88.3,9.4,1.11,Cloudy,191
2023-09-15,Delhi,30.2,55.9,1.8,0.0,Cloudy,48
2022-01-03,Mumbai,12.6,48.5,8.7,0.0,Cloudy,124
2021-10-25,Ahmedabad,25.6,63.5,18.9,0.79,Rainy,143
2020-09-16,Mumbai,16.5,72.2,17.1,0.0,Foggy,73
2024-03-07,Delhi,28.2,50.3,12.9,5.69,Stormy,10
2022-01-11,Indore,23.5,87.3,12.3,0.0,Sunny,111
2022-10-28,Lucknow,28.2,31.9,9.4,0.27,Foggy,98
2024-01-29,Mumbai,21.5,22.8,11.2,0.0,Hazy,116
2021-09-09,Pune,21.1,61.9,5.6,0.0,Sunny,29
2022-09-07,Mumbai,21.9,63.4,14.6,0.0,Stormy,103
2020-08-09,Bhopal,29.7,73.0,4.8,0.0,Stormy,132
2020-06-14,Delhi,31.3,94.8,12.1,0.0,Cloudy,38
2020-09-15,Delhi,22.2,22.9,12.6,1.53,Hazy,182
2023-01-28,Ahmedabad,20.1,59.2,5.4,0.0,Stormy,118
2022-12-22,Ahmedabad,25.4,99.0,17.0,0.35,Foggy,142
2022-05-31,Ahmedabad,25.5,63.0,12.3,0.38,Hazy,88
2024-10-12,Delhi,24.5,45.6,13.8,0.0,Foggy,86
2024-11-07,Patna,23.2,45.7,11.2,3.57,Stormy,174
2021-04-12,Surat,41.4,46.8,16.4,0.0,Stormy,125
2022-05-01,Jaipur,25.4,70.5,12.4,0.0,Rainy,83
2021-10-02,Jaipur,27.1,83.3,12.6,0.0,Rainy,79
2023-11-07,Bangalore,22.6,58.3,15.6,0.0,Sunny,62
2024-08-30,Delhi,27.0,28.8,13.0,1.64,Stormy,137
2024-03-04,Delhi,18.4,73.4,2.1,0.0,Cloudy,78
2020-05-02,Pune,22.3,77.2,0.6,0.0,Foggy,88
2021-11-06,Pune,19.2,42.9,6.5,0.0,Stormy,165
2024-11-24,Kolkata,23.3,94.5,19.7,0.0,Stormy,205
2024-01-16,Nagpur,17.7,64.2,11.9,0.33,Rainy,81
2021-10-01,Ahmedabad,20.3,68.5,10.6,0.0,Foggy,138
2021-03-11,Pune,20.7,51.8,17.2,0.97,Stormy,54
2024-10-01,Chennai,27.3,29.6,4.1,0.33,Foggy,85
2020-08-23,Kolkata,28.7,45.5,8.9,0.0,Foggy,62
2024-07-11,Chennai,16.2,61.0,15.1,0.0,Foggy,103
2024-08-03,Indore,29.6,38.1,6.2,0.0,Hazy,35
2023-02-14,Bhopal,19.8,53.6,8.2,3.47,Hazy,133
2023-11-21,Nagpur,21.2,54.6,12.7,0.64,Cloudy,172
2023-12-10,Hyderabad,19.4,66.6,11.8,0.0,Rainy,73
2020-01-13,Kolkata,17.2,50.8,16.3,2.91,Cloudy,86
2023-09-08,Ahmedabad,30.2,20.2,6.7,0.0,Cloudy,87
2023-07-20,Patna,33.8,56.8,3.3,0.0,Sunny,114
2022-12-22,Patna,24.5,81.9,12.8,1.39,Stormy,113
2021-11-29,Lucknow,19.7,51.0,8.6,5.18,Rainy,149
2021-10-26,Patna,23.2,80.8,7.9,0.0,Foggy,103
2020-06-22,Ahmedabad,32.5,39.8,4.4,0.0,Cloudy,167
2024-03-25,Bangalore,22.0,73.8,1.1,0.0,Hazy,10
2021-07-11,Delhi,26.8,57.4,11.9,0.0,Stormy,193
2023-05-28,Lucknow,21.8,60.8,17.4,0.0,Rainy,45
2024-03-26,Chennai,22.1,24.7,21.2,0.0,Rainy,10
2020-08-15,Jaipur,29.0,33.6,4.7,2.84,Hazy,153
2022-09-23,Ahmedabad,26.1,31.5,10.8,0.0,Rainy,169
2021-03-27,Mumbai,32.1,100.0,14.9,0.0,Foggy,123
2020-01-16,Mumbai,22.4,73.6,6.0,1.97,Cloudy,24
2020-10-08,Indore,27.7,61.3,7.4,0.0,Rainy,45
2020-09-02,Kolkata,30.3,64.2,9.0,0.14,Hazy,127
2020-12-25,Jaipur,8.7,32.5,9.8,0.73,Foggy,113
2021-04-16,Patna,21.7,27.0,12.3,0.0,Hazy,66
2021-12-26,Indore,23.2,23.4,8.5,1.39,Hazy,69
2022-06-12,Mumbai,29.2,29.1,13.2,4.69,Sunny,40
2021-10-03,Nagpur,27.0,80.6,9.9,0.0,Foggy,58
2023-12-24,Jaipur,15.0,48.3,4.8,0.0,Rainy,139
2022-04-09,Delhi,30.6,26.7,5.9,3.79,Rainy,45
2024-06-29,Bangalore,22.7,66.2,5.7,0.0,Stormy,133
2023-11-13,Nagpur,34.7,42.3,6.3,0.0,Sunny,27
2024-09-25,Jaipur,25.7,61.6,8.6,0.83,Stormy,100
2022-03-31,Ahmedabad,16.7,39.0,20.0,0.0,Stormy,52
2021-09-27,Nagpur,23.2,47.9,0.0,0.0,Cloudy,104
2024-05-14,Kolkata,27.9,63.6,9.6,0.43,Foggy,77
2020-08-21,Bhopal,22.1,42.6,14.1,0.0,Cloudy,44
2024-05-08,Surat,28.9,33.2,9.8,0.0,Hazy,113
2023-08-14,Nagpur,26.3,61.6,8.8,0.0,Cloudy,46
2020-10-26,Delhi,19.7,66.0,3.7,1.19,Cloudy,25
2020-11-09,Ahmedabad,28.0,71.7,17.9,0.0,Hazy,120
